date,city,temperature,humidity,pressure,wind_direction,wind_speed
2015-01,Atlanta,4.63,68,725.1,225,2.69
2015-01,Boston,-2.15,99,720.8,235,5.56
2015-01,Chicago,-5.29,97,724.22,218,4.77
2015-01,Detroit,-7.77,82,723.51,214,4.0
2015-01,Los Angeles,9.53,58,722.4,81,0.74
2015-01,Miami,20.56,82,722.57,163,3.74
2015-01,New York,-4.18,78,712.17,230,2.31
2015-01,Seattle,5.67,97,724.52,129,1.7
2015-02,Atlanta,3.55,65,723.5,251,3.04
2015-02,Boston,-5.15,99,719.97,226,5.55
2015-02,Chicago,-10.44,86,724.81,224,4.58
2015-02,Detroit,-12.25,78,723.88,222,3.61
2015-02,Los Angeles,11.59,64,720.19,132,0.59
2015-02,Miami,19.16,78,721.5,191,4.33
2015-02,New York,-7.24,80,711.67,218,2.17
2015-02,Seattle,7.89,92,721.84,125,1.74
2015-03,Atlanta,13.11,73,723.23,205,2.54
2015-03,Boston,-0.15,93,720.84,249,4.47
2015-03,Chicago,-0.16,84,723.98,203,3.91
2015-03,Detroit,-1.57,78,723.55,223,3.52
2015-03,Los Angeles,14.46,52,719.98,128,0.58
2015-03,Miami,23.9,75,722.04,143,3.7
2015-03,New York,1.02,79,718.65,244,2.86
2015-03,Seattle,8.54,85,722.62,165,1.69
2015-04,Atlanta,18.06,71,719.65,200,2.67
2015-04,Boston,7.38,77,718.82,205,3.84
2015-04,Chicago,7.18,75,718.81,171,3.9
2015-04,Detroit,7.6,72,719.05,182,3.79
2015-04,Los Angeles,13.53,56,717.86,153,0.62
2015-04,Miami,25.28,80,719.77,148,3.37
2015-04,New York,10.18,63,716.5,222,2.83
2015-04,Seattle,9.48,77,721.36,182,1.88
2015-05,Atlanta,22.72,60,722.64,171,2.1
2015-05,Boston,14.67,72,721.97,193,3.25
2015-05,Chicago,12.37,74,721.25,165,3.5
2015-05,Detroit,15.84,69,721.78,183,3.23
2015-05,Los Angeles,14.54,73,717.54,174,0.69
2015-05,Miami,26.3,74,721.17,108,4.03
2015-05,New York,18.73,60,714.8,212,1.91
2015-05,Seattle,14.43,71,719.15,207,1.37
2015-06,Atlanta,25.99,69,716.71,222,1.75
2015-06,Boston,16.4,79,717.42,162,3.41
2015-06,Chicago,16.25,80,715.5,150,2.81
2015-06,Detroit,18.27,80,715.57,161,2.93
2015-06,Los Angeles,21.0,69,711.32,180,0.86
2015-06,Miami,27.61,79,719.11,113,2.99
2015-06,New York,20.35,74,713.24,169,2.75
2015-06,Seattle,18.68,59,717.66,211,1.66
2015-07,Atlanta,26.55,72,710.88,219,2.17
2015-07,Boston,22.53,77,709.09,179,3.42
2015-07,Chicago,22.1,64,709.24,161,3.44
2015-07,Detroit,22.1,66,709.39,194,2.48
2015-07,Los Angeles,22.89,71,709.06,197,2.38
2015-07,Miami,28.69,68,711.67,160,3.02
2015-07,New York,24.25,68,708.58,206,2.5
2015-07,Seattle,20.17,63,711.05,140,2.63
2015-08,Atlanta,25.27,72,711.06,180,2.22
2015-08,Boston,22.48,78,710.37,157,3.26
2015-08,Chicago,21.56,64,710.25,192,3.45
2015-08,Detroit,21.28,68,710.6,208,2.62
2015-08,Los Angeles,24.84,67,708.37,183,2.23
2015-08,Miami,28.74,73,710.46,149,2.72
2015-08,New York,24.04,65,710.23,215,2.77
2015-08,Seattle,19.09,66,710.76,140,2.66
2015-09,Atlanta,21.84,77,711.85,134,2.11
2015-09,Boston,19.6,81,712.42,148,3.51
2015-09,Chicago,20.15,67,712.15,161,3.5
2015-09,Detroit,19.97,70,712.8,182,2.68
2015-09,Los Angeles,24.58,64,707.46,171,2.0
2015-09,Miami,27.88,80,709.4,151,2.53
2015-09,New York,21.59,69,712.25,154,2.74
2015-09,Seattle,14.79,78,711.34,139,2.71
2015-10,Atlanta,16.41,76,713.44,157,2.33
2015-10,Boston,11.16,79,714.66,182,3.99
2015-10,Chicago,12.63,67,713.82,185,4.82
2015-10,Detroit,11.91,71,714.04,188,3.72
2015-10,Los Angeles,21.78,60,709.71,156,1.76
2015-10,Miami,26.5,75,710.56,151,3.31
2015-10,New York,12.65,68,712.78,191,3.45
2015-10,Seattle,13.01,86,712.72,123,2.5
2015-11,Atlanta,13.46,76,715.24,174,2.6
2015-11,Boston,8.05,77,715.85,186,3.36
2015-11,Chicago,7.34,74,712.91,192,4.73
2015-11,Detroit,7.54,72,713.71,202,3.7
2015-11,Los Angeles,15.25,43,710.69,134,1.57
2015-11,Miami,25.72,77,712.12,117,4.2
2015-11,New York,10.11,65,715.3,192,3.39
2015-11,Seattle,5.92,87,713.07,151,2.63
2015-12,Atlanta,13.08,81,713.72,193,2.42
2015-12,Boston,6.16,81,713.77,191,3.02
2015-12,Chicago,4.3,82,710.05,197,4.52
2015-12,Detroit,4.63,82,711.15,197,3.18
2015-12,Los Angeles,11.92,50,712.2,141,1.71
2015-12,Miami,24.77,81,712.36,129,3.76
2015-12,New York,8.66,74,713.16,183,3.01
2015-12,Seattle,5.46,88,708.26,147,3.12
2016-01,Atlanta,4.62,69,712.71,221,2.98
2016-01,Boston,-0.74,72,711.27,230,3.81
2016-01,Chicago,-3.62,75,711.31,233,4.29
2016-01,Detroit,-2.78,74,710.64,214,3.52
2016-01,Los Angeles,12.51,65,712.8,124,1.42
2016-01,Miami,19.35,74,711.69,207,3.55
2016-01,New York,0.17,61,710.98,224,4.22
2016-01,Seattle,5.41,92,710.4,139,2.21
2016-02,Atlanta,8.08,63,712.6,236,3.3
2016-02,Boston,0.72,75,711.58,183,4.63
2016-02,Chicago,-0.55,71,710.89,231,4.75
2016-02,Detroit,-0.56,72,710.04,213,3.79
2016-02,Los Angeles,16.6,49,712.44,137,1.61
2016-02,Miami,19.74,66,713.33,186,3.75
2016-02,New York,2.07,62,711.06,203,4.21
2016-02,Seattle,7.71,89,714.1,152,2.83
2016-03,Atlanta,14.85,64,712.23,209,2.74
2016-03,Boston,5.61,75,711.95,163,4.31
2016-03,Chicago,6.39,72,709.87,174,4.28
2016-03,Detroit,5.23,71,710.6,176,3.18
2016-03,Los Angeles,15.68,67,710.9,177,2.25
2016-03,Miami,23.76,70,712.58,163,3.85
2016-03,New York,8.07,56,711.51,195,4.07
2016-03,Seattle,8.42,83,709.3,151,3.07
2016-04,Atlanta,17.02,59,711.76,193,2.9
2016-04,Boston,8.19,68,711.82,158,4.45
2016-04,Chicago,8.87,64,710.68,168,4.29
2016-04,Detroit,7.46,62,711.58,148,3.31
2016-04,Los Angeles,17.72,60,708.81,169,2.27
2016-04,Miami,24.51,63,711.47,128,3.82
2016-04,New York,10.53,54,711.12,175,3.84
2016-04,Seattle,12.38,74,712.53,153,2.38
2016-05,Atlanta,20.4,64,711.13,205,2.59
2016-05,Boston,14.36,73,709.77,160,3.29
2016-05,Chicago,15.5,58,710.19,171,4.07
2016-05,Detroit,15.53,66,710.05,162,3.75
2016-05,Los Angeles,17.37,70,709.44,190,2.33
2016-05,Miami,26.15,66,710.69,146,3.31
2016-05,New York,15.87,69,709.67,164,3.12
2016-05,Seattle,14.21,70,711.75,139,2.35
2016-06,Atlanta,25.41,62,710.37,213,2.62
2016-06,Boston,19.52,68,707.49,156,2.15
2016-06,Chicago,21.83,62,708.92,177,2.96
2016-06,Detroit,21.09,59,708.87,186,3.27
2016-06,Los Angeles,22.53,67,708.87,177,1.4
2016-06,Miami,27.86,78,708.95,165,3.74
2016-06,New York,21.46,59,708.6,202,2.82
2016-06,Seattle,15.85,69,711.88,176,2.0
2016-07,Atlanta,27.12,70,708.76,206,1.95
2016-07,Boston,22.87,78,711.36,190,3.11
2016-07,Chicago,23.33,73,708.42,171,3.68
2016-07,Detroit,24.03,70,707.93,186,3.16
2016-07,Los Angeles,24.54,63,700.16,186,1.96
